date,max_temp,min_temp,avg_temp
2026-08-08,32.4,25.3,28.85
2026-08-09,32.8,25.0,28.9
2026-08-10,31.4,25.1,28.25
2026-08-11,30.8,25.1,27.950000000000003
2026-08-12,29.0,25.1,27.05
2026-08-13,30.6,24.8,27.700000000000003
2026-08-14,31.0,25.0,28.0
2026-08-15,31.8,24.9,28.35
